implementation,N,time_sec,checksum
CPU,512,0.113759,32879238.231415
CPU,1024,0.832843,263190695.902557
CPU,2048,9.838592,2106586845.082794

implementation,N,time_ms
CUDA_NAIVE,512,1.310
CUDA_NAIVE,1024,3.466
CUDA_NAIVE,2048,21.869
CUDA_TILED,512,1.114
CUDA_TILED,1024,2.785
CUDA_TILED,2048,16.686

CUBLAS,512,0.061
CUBLAS,1024,0.294
CUBLAS,2048,2.126

implementation,N,time_ms,checksum
LIB_TILED,512,1.886,33550465.568207
LIB_TILED,1024,6.742,268517561.365692
LIB_TILED,2048,26.806,2147375676.513916
